country_txt,category,value
Australia,Number of People Killed,23
Australia,Number of People Wounded,113
Malaysia,Number of People Killed,147
Malaysia,Number of People Wounded,101
New Caledonia,Number of People Killed,35
New Caledonia,Number of People Wounded,23
New Zealand,Number of People Killed,1
New Zealand,Number of People Wounded,2
Papua New Guinea,Number of People Killed,79
Papua New Guinea,Number of People Wounded,90
Singapore,Number of People Killed,5
Singapore,Number of People Wounded,3
