country,year,name,fertility,life_expect
Australia,1970,12,0,1
Australia,1971,12,0,1
Australia,1972,12,1,8
Australia,1974,12,0,1
Australia,1978,12,2,2
Australia,1979,12,0,2
Australia,1980,12,2,4
Australia,1981,12,1,1
Australia,1982,12,0,1
Australia,1986,12,1,2
Australia,1988,12,0,3
Australia,1989,12,0,2
Australia,1991,12,0,4
Australia,1992,12,1,4
Australia,1994,12,3,9
Australia,1995,12,0,5
Australia,1996,12,2,5
Australia,1997,12,0,4
Australia,1998,12,0,6
Australia,2000,12,0,1
Australia,2001,12,0,2
Australia,2006,12,0,2
Australia,2008,12,0,3
Australia,2009,12,0,1
Australia,2010,12,0,1
Australia,2013,12,0,1
Australia,2014,12,4,8
Australia,2015,12,2,14
Australia,2016,12,0,9
Australia,2017,12,4,4
France,1972,8,1,11
France,1973,8,5,13
France,1974,8,3,25
France,1975,8,3,29
France,1976,8,7,48
France,1977,8,3,46
France,1978,8,21,52
France,1979,8,11,190
France,1980,8,20,70
France,1981,8,8,51
France,1982,8,17,49
France,1983,8,20,71
France,1984,8,15,133
France,1985,8,17,104
France,1986,8,25,95
France,1987,8,5,86
France,1988,8,6,54
France,1989,8,3,25
France,1990,8,3,30
France,1991,8,6,137
France,1992,8,9,126
France,1994,8,7,96
France,1995,8,19,71
France,1996,8,18,270
France,1997,8,0,130
France,1998,8,1,12
France,1999,8,0,46
France,2000,8,4,28
France,2001,8,0,21
France,2002,8,0,32
France,2003,8,0,34
France,2004,8,0,11
France,2005,8,0,33
France,2006,8,1,34
France,2007,8,3,16
France,2008,8,0,13
France,2009,8,0,9
France,2010,8,0,3
France,2011,8,0,8
France,2012,8,8,66
France,2013,8,0,18
France,2014,8,1,14
France,2015,8,162,37
France,2016,8,95,26
France,2017,8,7,41
Indonesia,1977,5,1,1
Indonesia,1981,5,4,1
Indonesia,1984,5,2,2
Indonesia,1985,5,7,2
Indonesia,1986,5,0,4
Indonesia,1989,5,85,2
Indonesia,1990,5,12,3
Indonesia,1991,5,21,7
Indonesia,1992,5,33,4
Indonesia,1994,5,1,5
Indonesia,1995,5,41,24
Indonesia,1996,5,30,64
Indonesia,1997,5,102,27
Indonesia,1998,5,9,3
Indonesia,1999,5,67,59
Indonesia,2000,5,146,101
Indonesia,2001,5,134,105
Indonesia,2002,5,246,43
Indonesia,2003,5,26,18
Indonesia,2004,5,42,17
Indonesia,2005,5,66,15
Indonesia,2006,5,6,10
Indonesia,2007,5,0,2
Indonesia,2008,5,0,13
Indonesia,2009,5,15,19
Indonesia,2010,5,0,4
Indonesia,2011,5,20,21
Indonesia,2012,5,15,39
Indonesia,2013,5,23,32
Indonesia,2014,5,20,34
Indonesia,2015,5,22,29
Indonesia,2016,5,22,19
Indonesia,2017,5,20,25
Iraq,1975,10,0,1
Iraq,1976,10,12,3
Iraq,1979,10,1,1
Iraq,1980,10,8,6
Iraq,1982,10,96,2
Iraq,1983,10,1,2
Iraq,1984,10,0,2
Iraq,1987,10,0,3
Iraq,1988,10,43,4
Iraq,1989,10,0,3
Iraq,1991,10,1,3
Iraq,1992,10,117,35
Iraq,1994,10,75,10
Iraq,1995,10,156,17
Iraq,1996,10,11,12
Iraq,1997,10,106,20
Iraq,1998,10,19,7
Iraq,1999,10,32,12
Iraq,2000,10,10,9
Iraq,2001,10,9,3
Iraq,2002,10,10,5
Iraq,2003,10,391,96
Iraq,2004,10,2171,315
Iraq,2005,10,3384,608
Iraq,2006,10,4616,805
Iraq,2007,10,6667,1042
Iraq,2008,10,2864,1097
Iraq,2009,10,2585,1134
Iraq,2010,10,2074,1179
Iraq,2011,10,1870,1304
Iraq,2012,10,2686,1422
Iraq,2013,10,7041,2812
Iraq,2014,10,13965,3768
Iraq,2015,10,8885,2635
Iraq,2016,10,12207,3201
Iraq,2017,10,6476,2333
Israel,1971,10,1,1
Israel,1972,10,26,15
Israel,1973,10,2,1
Israel,1974,10,78,12
Israel,1975,10,24,2
